logFC,ensid
ENSG00000183291,-1.71435411,ENSG00000183291
ENSG00000237489,2.190360537,ENSG00000237489
ENSG00000268750,-2.8214426,ENSG00000268750
ENSG00000138685,-0.488988841,ENSG00000138685
ENSG00000198542,0.551774343,ENSG00000198542
ENSG00000255185,-2.210120992,ENSG00000255185
ENSG00000213186,-0.489400553,ENSG00000213186
ENSG00000169252,0.929978469,ENSG00000169252
ENSG00000005102,2.528442605,ENSG00000005102
ENSG00000120833,1.083863645,ENSG00000120833
ENSG00000012171,0.701194574,ENSG00000012171
ENSG00000244509,0.472048588,ENSG00000244509
ENSG00000273447,-1.360777348,ENSG00000273447
ENSG00000178096,0.94954553,ENSG00000178096
ENSG00000003056,-0.5666309,ENSG00000003056
ENSG00000167772,0.879801512,ENSG00000167772
ENSG00000164463,0.600615567,ENSG00000164463
ENSG00000223361,2.912764121,ENSG00000223361
ENSG00000271882,1.192017489,ENSG00000271882
ENSG00000171388,-1.230857581,ENSG00000171388
ENSG00000115290,1.529140251,ENSG00000115290
ENSG00000255330,0.928560966,ENSG00000255330
ENSG00000102387,1.115895777,ENSG00000102387
ENSG00000182141,1.372043519,ENSG00000182141
ENSG00000150593,0.611781863,ENSG00000150593
ENSG00000118514,-2.409776857,ENSG00000118514
ENSG00000206532,1.663672717,ENSG00000206532
ENSG00000174514,2.763920736,ENSG00000174514
ENSG00000215386,1.037863929,ENSG00000215386
ENSG00000261038,4.860352696,ENSG00000261038
ENSG00000273084,1.154787048,ENSG00000273084
ENSG00000148541,2.038159685,ENSG00000148541
ENSG00000229980,2.099803661,ENSG00000229980
ENSG00000181894,0.729661199,ENSG00000181894
ENSG00000115183,0.607479069,ENSG00000115183
ENSG00000183354,0.817826175,ENSG00000183354
ENSG00000135451,-0.50706738,ENSG00000135451
ENSG00000131094,1.747798855,ENSG00000131094
ENSG00000130222,4.737233499,ENSG00000130222
ENSG00000113396,4.737234829,ENSG00000113396
ENSG00000197019,0.594435573,ENSG00000197019
ENSG00000182704,0.760500348,ENSG00000182704
ENSG00000274038,2.083318393,ENSG00000274038
ENSG00000251821,-4.833551741,ENSG00000251821
ENSG00000232648,4.74169806,ENSG00000232648
ENSG00000006432,-1.202230084,ENSG00000006432
ENSG00000120217,0.847847001,ENSG00000120217
ENSG00000134243,0.952334325,ENSG00000134243
ENSG00000153904,0.897863975,ENSG00000153904
ENSG00000253878,2.727555986,ENSG00000253878
ENSG00000111325,0.846486576,ENSG00000111325
ENSG00000230453,1.378089019,ENSG00000230453
ENSG00000113742,-1.092251143,ENSG00000113742
ENSG00000168264,0.457327489,ENSG00000168264
ENSG00000139289,0.577336755,ENSG00000139289
ENSG00000247095,-1.010993069,ENSG00000247095
ENSG00000258674,0.812610045,ENSG00000258674
ENSG00000074356,-0.520622703,ENSG00000074356
ENSG00000076248,-0.622221358,ENSG00000076248
ENSG00000197857,0.662348367,ENSG00000197857
ENSG00000146278,0.594642802,ENSG00000146278
ENSG00000177602,-0.59253514,ENSG00000177602
ENSG00000224287,-3.182154048,ENSG00000224287
ENSG00000126561,-0.725404396,ENSG00000126561
ENSG00000067606,1.103960203,ENSG00000067606
ENSG00000253910,-1.971760501,ENSG00000253910
ENSG00000196081,-0.759978844,ENSG00000196081
ENSG00000125571,2.807348241,ENSG00000125571
ENSG00000179776,-2.209043107,ENSG00000179776
ENSG00000248275,-0.795216364,ENSG00000248275
ENSG00000157191,0.752959372,ENSG00000157191
ENSG00000101966,1.646127541,ENSG00000101966
ENSG00000111860,0.612397909,ENSG00000111860
ENSG00000246582,1.534691779,ENSG00000246582
ENSG00000231305,1.61426745,ENSG00000231305
ENSG00000152133,-0.894299593,ENSG00000152133
ENSG00000145632,0.564726528,ENSG00000145632
ENSG00000256663,-0.678243485,ENSG00000256663
ENSG00000160058,0.611866778,ENSG00000160058
ENSG00000146007,0.812452895,ENSG00000146007
ENSG00000138798,-1.2710982,ENSG00000138798
ENSG00000122641,0.460916647,ENSG00000122641
ENSG00000186469,-0.7082236,ENSG00000186469
ENSG00000169507,1.11971426,ENSG00000169507
ENSG00000157823,0.573805368,ENSG00000157823
ENSG00000147883,0.809584354,ENSG00000147883
ENSG00000186815,0.725537818,ENSG00000186815
ENSG00000135951,2.098558741,ENSG00000135951
ENSG00000154144,-0.778984008,ENSG00000154144
ENSG00000167904,0.618782089,ENSG00000167904
ENSG00000176531,0.715047671,ENSG00000176531
ENSG00000139354,-0.638588038,ENSG00000139354
ENSG00000087586,-0.445115112,ENSG00000087586
ENSG00000204920,-1.322327244,ENSG00000204920
ENSG00000219395,-1.974426672,ENSG00000219395
ENSG00000233429,-1.082424836,ENSG00000233429
ENSG00000277694,-1.556152104,ENSG00000277694
ENSG00000165490,-0.817183046,ENSG00000165490
ENSG00000270629,-0.5303147,ENSG00000270629
ENSG00000163347,0.914822892,ENSG00000163347
ENSG00000138757,0.442141685,ENSG00000138757
ENSG00000105173,-0.720981396,ENSG00000105173
ENSG00000125089,1.35531257,ENSG00000125089
ENSG00000114268,0.770978371,ENSG00000114268
ENSG00000114686,-0.563584761,ENSG00000114686
ENSG00000167081,0.58526738,ENSG00000167081
ENSG00000129048,0.522465089,ENSG00000129048
ENSG00000076864,1.72262406,ENSG00000076864
ENSG00000275964,0.940319348,ENSG00000275964
ENSG00000196267,-1.172322279,ENSG00000196267
ENSG00000212932,0.812279205,ENSG00000212932
ENSG00000108352,0.910820255,ENSG00000108352
ENSG00000255717,-0.584767191,ENSG00000255717
ENSG00000136305,-0.962428237,ENSG00000136305
ENSG00000130299,-0.901997743,ENSG00000130299
ENSG00000164048,-1.430166798,ENSG00000164048
ENSG00000130948,-4.714417194,ENSG00000130948
ENSG00000274515,4.590693833,ENSG00000274515
ENSG00000228264,4.590696162,ENSG00000228264
ENSG00000250067,-1.870259542,ENSG00000250067
ENSG00000091409,0.605251779,ENSG00000091409
ENSG00000178726,0.614707456,ENSG00000178726
ENSG00000105429,0.643693681,ENSG00000105429
ENSG00000164176,0.669635283,ENSG00000164176
ENSG00000271793,1.146225659,ENSG00000271793
ENSG00000181798,-2.207469574,ENSG00000181798
ENSG00000130695,-0.531473559,ENSG00000130695
ENSG00000172831,0.539024016,ENSG00000172831
ENSG00000108946,0.976013015,ENSG00000108946
ENSG00000164050,0.530439234,ENSG00000164050
ENSG00000185684,-0.716606022,ENSG00000185684
ENSG00000160685,0.534620999,ENSG00000160685
ENSG00000204956,-1.655961804,ENSG00000204956
ENSG00000084093,0.687730805,ENSG00000084093
ENSG00000174576,-1.183202997,ENSG00000174576
ENSG00000259332,1.834682061,ENSG00000259332
ENSG00000225791,0.840346571,ENSG00000225791
ENSG00000136877,0.6120793,ENSG00000136877
ENSG00000169715,0.437233859,ENSG00000169715
ENSG00000022267,0.936213218,ENSG00000022267
ENSG00000141542,0.793571967,ENSG00000141542
ENSG00000113368,-0.460407753,ENSG00000113368
ENSG00000019549,-0.632098113,ENSG00000019549
ENSG00000163734,0.998529169,ENSG00000163734
ENSG00000204138,-0.538840713,ENSG00000204138
ENSG00000092098,-0.503968132,ENSG00000092098
ENSG00000227268,1.014887004,ENSG00000227268
ENSG00000126785,0.72740265,ENSG00000126785
ENSG00000101911,-0.730603561,ENSG00000101911
ENSG00000226853,2.900842172,ENSG00000226853
ENSG00000171940,0.470873903,ENSG00000171940
ENSG00000132406,0.782872805,ENSG00000132406
ENSG00000236296,-1.452337791,ENSG00000236296
ENSG00000228395,-2.106028555,ENSG00000228395
ENSG00000248854,1.204446016,ENSG00000248854
ENSG00000243678,1.425719135,ENSG00000243678
ENSG00000232860,-2.382385162,ENSG00000232860
ENSG00000121621,-0.449939862,ENSG00000121621
ENSG00000175105,0.508535345,ENSG00000175105
ENSG00000197332,-1.077628761,ENSG00000197332
ENSG00000185666,2.358286598,ENSG00000185666
ENSG00000161533,0.57967286,ENSG00000161533
ENSG00000242419,-2.281668412,ENSG00000242419
ENSG00000121671,-0.925210009,ENSG00000121671
ENSG00000123374,0.450473278,ENSG00000123374
ENSG00000212643,1.442973165,ENSG00000212643
ENSG00000148925,0.434672074,ENSG00000148925
ENSG00000137872,-1.105006768,ENSG00000137872
ENSG00000234545,-0.611347083,ENSG00000234545
ENSG00000117614,0.517372005,ENSG00000117614
ENSG00000164818,0.518540406,ENSG00000164818
