lncRNA,num_chipseq
ENSG00000272482,11
ENSG00000272506,6
ENSG00000272519,5
ENSG00000272541,5
ENSG00000272567,9
ENSG00000272568,13
ENSG00000272691,5
ENSG00000272694,12
ENSG00000272734,6
ENSG00000272774,12
ENSG00000272854,5
ENSG00000272902,10
ENSG00000272906,6
ENSG00000272933,6
ENSG00000272953,8
ENSG00000272986,10
ENSG00000273027,5
ENSG00000273033,11
ENSG00000273069,5
ENSG00000273071,6
ENSG00000273084,8
ENSG00000273093,7
ENSG00000273102,12
ENSG00000273123,7
ENSG00000273196,5
ENSG00000273219,5
ENSG00000273295,5
ENSG00000273343,5
ENSG00000273388,9
ENSG00000273413,6
ENSG00000273474,7
ENSG00000273478,7
ENSG00000273619,6
ENSG00000273664,7
ENSG00000273674,5
ENSG00000273702,5
ENSG00000273729,5
ENSG00000273784,7
ENSG00000273797,9
ENSG00000273923,10
ENSG00000273973,6
ENSG00000273989,5
ENSG00000274092,5
ENSG00000274156,12
ENSG00000274215,15
ENSG00000274427,9
ENSG00000274598,7
ENSG00000274605,5
ENSG00000274624,12
ENSG00000274737,5
ENSG00000274949,5
ENSG00000275024,5
ENSG00000275088,9
ENSG00000275091,6
ENSG00000275092,6
ENSG00000275106,7
ENSG00000275155,8
ENSG00000275263,9
ENSG00000275343,9
ENSG00000275417,10
ENSG00000275445,7
ENSG00000275567,5
ENSG00000275620,12
ENSG00000275769,7
ENSG00000275871,8
ENSG00000275894,11
ENSG00000276170,5
ENSG00000276232,13
ENSG00000276241,13
ENSG00000276454,7
ENSG00000276509,5
ENSG00000276633,8
ENSG00000276651,6
ENSG00000276728,5
ENSG00000276831,8
ENSG00000276972,5
ENSG00000277173,7
ENSG00000277192,5
ENSG00000277287,8
ENSG00000277352,7
ENSG00000277369,6
ENSG00000277382,5
ENSG00000277453,10
ENSG00000277459,5
ENSG00000277534,6
ENSG00000277895,8
ENSG00000278041,14
ENSG00000278112,9
ENSG00000278177,10
ENSG00000278238,5
ENSG00000278390,5
ENSG00000278434,8
ENSG00000278610,12
ENSG00000278864,10
ENSG00000278914,5
ENSG00000278952,6
ENSG00000278954,5
ENSG00000278966,7
ENSG00000278972,11
ENSG00000278986,6
ENSG00000278987,5
ENSG00000278990,5
ENSG00000279006,12
ENSG00000279030,8
ENSG00000279110,12
ENSG00000279123,6
ENSG00000279141,7
ENSG00000279164,13
ENSG00000279176,5
ENSG00000279182,5
ENSG00000279201,12
ENSG00000279206,5
ENSG00000279267,7
ENSG00000279283,5
ENSG00000279306,5
ENSG00000279312,15
ENSG00000279319,5
